Forecast_Month,Projected_Revenue,Revenue_Lower_Bound (95%),Revenue_Upper_Bound (95%),Projected_Volume,Volume_Lower_Bound (95%),Volume_Upper_Bound (95%)
2026-06,905351.09,729727.38,1094696.49,22301.0,18125.0,26799.0
2026-07,883345.2,661668.67,1123706.91,21754.0,16522.0,27422.0
2026-08,872305.13,616070.98,1150920.21,21477.0,15465.0,28010.0
2026-09,914618.34,613313.78,1242825.38,22515.0,15480.0,30172.0
2026-10,946382.67,605005.43,1318713.39,23294.0,15358.0,31943.0
2026-11,978199.9,597727.33,1393573.79,24075.0,15262.0,33688.0
