Forecast_Month,Projected_Revenue,Revenue_Lower_Bound (95%),Revenue_Upper_Bound (95%),Projected_Volume,Volume_Lower_Bound (95%),Volume_Upper_Bound (95%)
2026-06,918946.7,751696.54,1098965.58,22856.0,18700.0,27329.0
2026-07,896233.01,686427.34,1123406.47,22291.0,17063.0,27951.0
2026-08,884855.3,643080.12,1147423.37,22001.0,15974.0,28547.0
2026-09,927692.1,643904.0,1236470.03,23057.0,15988.0,30749.0
2026-10,959871.57,638722.48,1309773.88,23848.0,15861.0,32550.0
2026-11,992125.72,634498.6,1382176.08,24641.0,15764.0,34323.0
