Rndrng_NPI,Rndrng_Prvdr_First_Name,Rndrng_Prvdr_Last_Org_Name,Rndrng_Prvdr_Crdntls,Rndrng_Prvdr_City,Rndrng_Prvdr_State_Abrvtn,Rndrng_Prvdr_Zip5
1003912726,Dean,Lenz,M.D.,Bloomington,IN,47403
1003913815,Troy,Sukkarieh,MD,Freehold,NJ,07728
1003915968,Jay,Miller,MD,Bloomington,IL,61701
1003935479,William,Badger,M.D.,Flagstaff,AZ,86001
1003937947,Sandra,Hadjinian,MD,Seattle,WA,98195
1003943879,Mirza,Baig,M.D.,Toledo,OH,43617
1003957952,Robert,Bass,M.D.,Murfreesboro,TN,37129
1003981168,Ananth,Annamraju,M.D.,Springfield,OH,45503
1003990953,Michael,Karasis,M.D.,Woodstock,IL,60098
1003995648,Qingwei,Yan,M.D.,Oakland,CA,94609
1013008135,Angelo,Kanellos,M.D.,Reno,NV,89521
1013019439,Alexander,Berry,M.D.,Springfield,MA,01107
1013020189,William,Terens,MD,Cranford,NJ,07016
1013020486,David,Pinkstaff,MD,Waco,TX,76710
1013031384,Emil,Grieco,MD,Naples,FL,34102
1013031996,Roc,Mccarthy,DO,Whiteville,NC,28472
1013033190,Steven,Han,MD,Seattle,WA,98104
1013038371,Jeremy,Davis,M.D.,Oklahoma City,OK,73120
1013043488,Brian,Eisner,MD,Boston,MA,02114
1013069186,David,Buethe,M.D.,Hudson,FL,34607
1013076546,Stephen,Gallo,M.D.,Springfield,MA,01107
1013077510,John,Mhoon,M.D.,Salem,OR,97302
1013081678,John,Adams,MD,Charleston,SC,29425
1013087451,Benjamin,Lee,MD,Tucson,AZ,85724
1013087535,Kevin,Banks,M.D.,Columbus,OH,43214
1013097534,Mark,Sender,"M.D., IN",Santa Clarita,CA,91355
1013098995,Avinash,Gulanikar,"M.D,",Flowood,MS,39232
1013111491,Yekutiel,Sandman,MD,Miami,FL,33173
1013113802,Norman,De La Rosa,M.D.,Guaynabo,PR,00966
1013117092,Eric,Richter,MD,Pueblo,CO,81001
1013117803,Jesse,Mierzwiak,MD,Tacoma,WA,98405
1013120633,Toby,Lees,M.D.,Holland,MI,49423
1013122977,Brian,Sperling,D.O.,Shelton,CT,06484
1013125871,Charles,Powell,M.D.,Indianapolis,IN,46202
1013130186,Joseph,Phillips,M.D.,Dothan,AL,36301
1013139641,Heather,Stefaniak,MD,Green Bay,WI,54311
1013140334,Norman,Colon-Casasnovas,M.D.,Dorado,PR,00646
1013154384,John,Boon,M.D.,Sugar Land,TX,77479
1013159433,Matthew,Maurice,M.D.,Canton,OH,44708
1013166990,Jeffrey,Larson,MD,Anderson,SC,29621
1013177518,Boris,Gershman,M.D.,Providence,RI,02904
1013178227,Ashley,King,MD,Pensacola,FL,32503
1013179001,Justin,Johnson,M.D.,Lexington,KY,40504
1013179977,Aaron,New,MD,Victoria,TX,77901
1013182443,Justin,Dixon,M.D.,Ashland,KY,41101
1013203165,Robert,Lurvey,MD,Antioch,CA,94531
1013203645,Jordan,Grant,M.D.,Paris,TX,75460
1013203959,Lauren,Rittenberg,D.O.,Tucson,AZ,85714
1013208057,Mohit,Sirohi,MD,Tampa,FL,33606
1013219328,Guilherme,Godoy,MD,Houston,TX,77030
1013222959,Juan,Guzman-Negron,M.D.,Bayamon,PR,00961
1013232693,Ryan,Cleary,M.D.,Baltimore,MD,21237
1013273036,Michael,Avallone,M.D.,Aurora,CO,80045
1013294941,Matt,Ashley,M.D.,Bend,OR,97701
1013295419,Joel,Leon Becerril,MD,Rolla,MO,65401
1013309947,David,Horovitz,MD,Bakersfield,CA,93301
1013331172,Paul,Jones,,Caldwell,ID,83605
1013334390,Brittani,Barrett-Harlow,M.D.,Fayetteville,GA,30214
1013335512,Tony,Chen,M.D.,Stanford,CA,94305
1013366491,Samantha,Kraemer,M.D.,Royal Oak,MI,48073
1013371442,Joseph,Zanghi,D.O.,Olympia Fields,IL,60461
1013379643,Andrew,Wood,MD,Brighton,MI,48116
1013395730,Matthew,Katz,M.D.,New York,NY,10017
1013398650,Katie,Flower,M.D.,Charleston,SC,29425
1013405919,Michael,Helbig,MD,Washington,DC,20037
1013440312,Brian,Friel,MD,Philadelphia,PA,19104
1013448612,Jonathan,Davila,M.D.,Bronx,NY,10461
1013490309,Seetharam,Bhat Kulthe Ramesh,MD,Syracuse,NY,13202
1013496843,Alice,Yu,,Tampa,FL,33612
1013900190,Glenn,Kershen,MD,Saginaw,MI,48601
1013900414,Jonathan,Masel,MD,Hollywood,FL,33021
1013901693,Christopher,Lee,M.D.,Vineland,NJ,08360
1013903624,Robert,Naismith,MD,Corpus Christi,TX,78411
1013909019,Ronald,Rabin,MD,Metairie,LA,70006
1013909266,Richard,Airhart,M.D.,Metairie,LA,70006
1013910280,Patrick,Leu,MD,Omaha,NE,68114
1013912096,Eric,Pizza,MD,Toledo,OH,43606
1013913938,Anthony,Caruso,MD,Federal Way,WA,98003
1013914159,Sean,Manion,MD,Brighton,CO,80601
1013917103,Jon,Posey,MD,Tupelo,MS,38801
1013919760,Rupa,Kitchens,MD,Homewood,AL,35209
1013921709,Peter,Knapp,M.D.,Carmel,IN,46032
1013931930,Saad,Juma,MD,Encinitas,CA,92024
1013932045,Bradley,Frasier,MD,Oceanside,CA,92056
1013936749,Eric,Guilliams,M.D.,Springfield,MO,65804
1013941483,Stuart,Holden,,Los Angeles,CA,90095
1013941673,David,Weiner,MD,New York,NY,10032
1013948959,Evan,Rosen,M.D.,Monterey,CA,93940
1013950740,Rajendra,Motwani,DO,Oklahoma City,OK,73139
1013954809,Joseph,Decarlo,M.D.,Tyler,TX,75701
1013959741,Bruce,Wiita,M.D.,Jupiter,FL,33458
1013961879,Brian,Wade,M.D.,Homewood,AL,35209
1013963164,Fadi,Habib,MD,Chicago,IL,60634
1013966514,Scott,Rosen,MD,Easton,PA,18042
1013969039,Victor,Jiminez,M.D.,Huntsville,AL,35802
1013970920,Douglas,Ludeman,M.D.,Richmond,VA,23235
1013980697,Kent,Kirby,M.D.,The Villages,FL,32163
1013981968,Edward,Killorin,MD,Columbus,GA,31901
1013982636,John,Mullen,MD,Seattle,WA,98104
1013983741,Kevin,Gancarczyk,M.D.,Tulsa,OK,74146
1013983915,Todd,Breaux,M.D.,Akron,OH,44304
1013985316,Michael,Berte,MD,Cleveland,OH,44130
1013985522,Daniel,Cahoon,MD,American Fork,UT,84003
1013993179,Charles,Zaleski,MD,Lewistown,PA,17044
1013994599,Dianne,Sacco,MD,Boston,MA,02114
1013994748,John,Homa,D.O.,Hyannis,MA,02601
1013995034,Gary,Goldberg,MD,Mankato,MN,56001
1013996859,Matthew,Perry,M.D.,Sarasota,FL,34237
1013997469,Lawrence,Mcguire,MD,Brooklyn,NY,11219
1023000684,Mark,Schmidt,M.D.,Roanoke,VA,24018
1023004413,Justin,Lee,MD,Arlington,TX,76017
1023009347,David,Kearney,MD,Troy,MI,48098
1023010808,Giridhar,Talluri,MD,Aventura,FL,33180
1023013505,William,Bloch,M.D.,Worthington,OH,43085
1023018074,Kannan,Manickam,MD,Baltimore,MD,21237
1023018744,Nathalie,Barnes,MD,Delray Beach,FL,33484
1023019734,Laurence,O'connor,M.D.,Mankato,MN,56001
1023032497,Hal,Liddell,M.D.,Hattiesburg,MS,39402
1023033149,Sagar,Phatak,M. D.,Middlebury,CT,06762
1023035565,Ronald,Neal,MD,Chicago,IL,60619
1023037058,Elliot,Shulman,MD,Jersey City,NJ,07304
1023041464,Parminder,Sethi,M.D.,Walnut Creek,CA,94598
1023042389,Douglas,Green,M.D.,Fairlawn,OH,44333
1023042496,Dudley,Danoff,MD,Los Angeles,CA,90048
1023045713,Carlton,Valvo,M. D.,Glendale,CA,91208
1023056165,Michael,Walter,M.D.,Fort Worth,TX,76109
1023057049,Edward,Gerrard,MD,Hickory,NC,28601
1023059680,Adam,Weiser,M.D.,Columbus,OH,43230
1023060068,Barry,Lee,M.D.,Gastonia,NC,28054
1023060894,Lawrence,Hill,M.D.,Greenville,SC,29605
1023064235,James,Frogge,M.D.,Pittsburg,KS,66762
1023065471,Mark,Alagna,MD,Hudson,FL,34667
1023067329,Frank,Lai,M.D.,Mountain View,CA,94040
1023068582,David,Hall,M.D.,Morgantown,WV,26505
1023068640,G Michael,Ortiz,M.D.,Saratoga Springs,NY,12866
1023070356,Richard,Herlihy,MD,Oklahoma City,OK,73120
1023070539,Michael,Solomon,M.D.,Port St Lucie,FL,34986
1023072477,Robert,Hong,M.D.,Lancaster,PA,17601
1023074184,Micheal,Darson,MD,Scottsdale,AZ,85255
1023081627,James,Turecki,M.D.,Williamsville,NY,14221
1023081817,Edmund,Ko,M.D.,Loma Linda,CA,92354
1023083078,John,Provet,MD,New York,NY,10016
1023090230,Jason,Wynberg,M.D.,Teaneck,NJ,07666
1023091188,Leonel,Guerrero Rodriguez,M.D.,Fajardo,PR,00738
1023091386,Christopher,Tuveson,MD,Fond Du Lac,WI,54935
1023091667,Ronald,Lee,M.D.,Mount Prospect,IL,60056
1023092640,Scott,Swanson,M.D.,Phoenix,AZ,85054
1023095122,Ayal,Kaynan,M.D.,Morristown,NJ,07960
1023098043,Christopher,Marsh,M.D.,La Jolla,CA,92037
1023098910,Gregory,Lewis,M.D.,Joliet,IL,60431
1023100492,J,Wolf,MD,Austin,TX,78712
1023107794,Virinder,Bhardwaj,MD,Porterville,CA,93257
1023119013,Kirsten,Greene,M.D.,Charlottesville,VA,22903
1023137940,Caleb,Stepan,M.D.,Grand Junction,CO,81505
1023167798,Brian,Link,M.D.,Oklahoma City,OK,73120
1023178993,Ray,Littleton,M.D.,Detroit,MI,48202
1023182011,Alejandro,Rodriguez,M.D.,Columbia,MD,21044
1023183746,Mohammad,Ghazi-Moghadam,M.D.,Amsterdam,NY,12010
1023192960,Robin,Zagone,M.D.,Crescent City,CA,95531
1023194180,Kapil,Pareek,MD,Braselton,GA,30517
1023205572,Tatum,Tarin,,Pittsburgh,PA,15219
1023205739,Kinloch,Nelson,M.D.,Richmond,VA,23235
1023211547,Daniel,Willis,M.D.,Bend,OR,97701
1023215936,Irina,Jaeger,M.D.,Cleveland,OH,44106
1023223484,Kathleen,Hwang,M.D.,Philadelphia,PA,19104
1023228483,Christopher,Stands,MD,Lynchburg,VA,24501
1023245123,Andrew,Smock,MD,Zanesville,OH,43701
1023247921,Michael,Hanzly,DO,Orchard Park,NY,14127
1023248911,Ayman,Mahdy,,Winter Park,FL,32792
1023260205,Michael,Fountain,D.O.,Tavares,FL,32778
1023269073,Jason,Bonslaver,MD,York,PA,17402
1023271301,Parviz,Kavoussi,MD,Austin,TX,78745
1023276730,Felix,Davelman,M.D.,Middletown,NY,10941
1023283017,Jodi,Antonelli,M.D.,Dallas,TX,75390
1023290533,Dhiren,Dave,M.D.,Somerville,NJ,08876
1023305539,Miriam,Hadj-Moussa,M.D.,Ann Arbor,MI,48109
1023305638,Salman,Chohan,D.O.,Washington,DC,20032
1023307386,Patricia,Zahner,MD,Moorestown,NJ,08057
1023308483,Jubilee,Phan,M.D.,Peoria,IL,61606
1023332228,Stephen,Summers,M.D.,Salt Lake City,UT,84132
1023350253,John,Delancey,M.D.,Columbus,OH,43212
1023351905,Kahlil,Saad,M.D.,Wichita,KS,67226
1023363009,Joshua,Jones,M.D.,Litchfield Park,AZ,85340
1023364643,Semyon,Gurgov,M.D.,Greenlawn,NY,11740
1023373230,David,Peters,D.O.,East Setauket,NY,11733
1023375011,Benjamin,Nelson,M.D.,Newark,NY,14513
1023376969,Johnson,Tsui,M.D.,Flushing,NY,11354
1023377736,Paul,Kogan,M.D.,Shiloh,IL,62269
1023422888,Arman,Cicic,D.O.,Milwaukee,WI,53226
1023428109,Matthew,Macey,M.D.,Richmond,VA,23235
1023428802,Kelly,Bree,M.D.,Houston,TX,77030
1023463395,Christopher,Keith,M.D.,Austell,GA,30106
1023466182,Audry,Kang,M.D.,Gresham,OR,97030
1023470796,Susan,Talamini,MD,San Antonio,TX,78229
1023472149,Poone,Shoureshi,M.D.,Laguna Hills,CA,92653
1023472834,Fahad,Chaus,"M.D., M.B.A",Elgin,IL,60123
1023488806,Hung,Nguyen,M.D.,La Jolla,CA,92037
1023495777,Joseph,Crivelli,,Birmingham,AL,35249
1023499415,Michael,Farrell,M.D.,Columbus,OH,43215
1023508231,Aleksandar,Blubaum,MD,Fayetteville,AR,72703
1023533064,Fernando,Caumont,MD,Rochester,NY,14609
1023542610,Troy,Larson,M.D.,Columbia,TN,38401
1023544046,Solomon,Hayon,MD,Chicago,IL,60611
1023597143,Rajiva,Singh,MD,Kettering,OH,45429
1033100086,Dana,Rademacher,MD,Onalaska,WI,54650
1033100920,Mohammad,Soliman,MD,Yuma,AZ,85364
1033101704,Michael,Szostak,MD,Safety Harbor,FL,34695
1033104344,Edward,Whitesides,M.D.,Wilmington,NC,28403
1033106422,Randolph,Hunter,MD,Tavares,FL,32778
1033106877,Pedro,Banda,MD,Milwaukee,WI,53211
1033108220,Meyer,Gershbaum,MD,Flushing,NY,11355
1033110747,Carl,Mills,M.D.,East Patchogue,NY,11772
1033112107,Hunter,Mckay,M.D.,Seattle,WA,98122
1033114269,Alexandru,Benet,M.D.,Andalusia,AL,36420
1033117155,James,Kirk,M.D.,Lubbock,TX,79410
1033119516,Nathaniel,Barnes,M.D.,Webster,TX,77598
1033120100,Thomas,Nelius,M.D.,Lubbock,TX,79415
1033121322,Timothy,Taylor,MD,Idaho Falls,ID,83404
1033126933,Ian,Thompson,MD,San Antonio,TX,78229
1033129473,Victor,Rivera,M.D.,Caguas,PR,00725
1033138102,Eric,Smith,M.D.,Dallas,TX,75246
1033140637,Robert,Fontane,M.D.,Alexandria,LA,71301
